Componente 1,Componente 2,Cluster,Curso
0.04840953,-0.30321655,2,"Gestão e Fiscalização de Contratos, sob o enfoque da Lei nº 14.133/21 "
-0.018351344,-0.112051085,3,Análise de Impacto Regulatório: Conceitos Fundamentais 
0.18606359,0.18537213,4,"Monitoramento da biodiversidade: gestão, análise e síntese dos dados "
-0.566953,0.19521545,0,Nova Lei de Licitações: Gestão Contratual 
0.15458056,-0.0482861,1,Para Fazer uma Exposição 
0.06174643,-0.064268336,1,Conceitos e Práticas para o Gerenciamento de Desastres no Âmbito Municipal 
0.23376915,0.12999694,4,"Comunicação Assertiva: Oratória, Retórica e Técnicas de Apresentação "
-0.19324978,0.28167492,0,Análise de Condutas Unilaterais Restritivas à Concorrência 
-0.2921899,-0.10992552,3,Lei nº 8112/90 e suas alterações 
0.18052053,-0.29030082,2,Curso de Formação de Servidores Municipais ou Distritais para a Fiscalização e a Cobrança do ITR 
0.18954201,-0.019062366,1,Contratos administrativos - Pagamento pelo fato gerador 
0.18606359,0.18537213,4,"Monitoramento da biodiversidade: gestão, análise e síntese dos dados "
-0.17053162,0.3396161,0,"Licitação por concorrência, concurso, leilão e diálogo competitivo "
0.03670779,-0.016541848,1,Habilidades de Resolução de Problemas 
-0.05822694,-0.012518117,3,Guia de Orientação e Formulários do Plano de Ação de Emergência (PAE) 
-0.14274503,-0.09996752,3,Análise e Melhoria de Processos 
-0.14274503,-0.09996752,3,Análise e Melhoria de Processos 
0.18606359,0.18537213,4,"Monitoramento da biodiversidade: gestão, análise e síntese dos dados "
-0.3774511,0.05596918,0,Técnica Legislativa 
0.016880088,0.18770386,4,Fundamentos da Lei Geral de Proteção de Dados 
-0.16758728,0.17020234,0,"Misturas Asfálticas - Conceituação, Materiais e Dosagem "
-0.039591473,-0.34283528,2,Acervos Digitais nos Museus: realização de projetos 
0.1625031,0.0151069015,1,LGPD: Como coordenar a atuação do município para a governança de dados aplicada 
-0.039591473,-0.34283528,2,Acervos Digitais nos Museus: realização de projetos 
0.0870003,0.033471607,1,Abertura de empresas: como redesenhar e simplificar processos 
0.06270539,-0.15624158,1,Reconhecimento de Riscos Químicos nos Ambientes de Trabalho 
-0.07492463,-0.22463495,2,Excel Intermediário 
0.09274274,0.18975425,4,Cerrado: eixo pedagógico e patrimônio 
-0.32768297,0.22573084,0,Estratégias de Metodologias Ativas 
0.10795534,-0.050170314,1,Gestão de Riscos em Processos de Trabalho (segundo o Coso) 
0.20946269,0.042881414,1,"Elaboração Legislativa no Executivo: Legística, Governança e Avaliação "
-0.039591473,-0.34283528,2,Acervos Digitais nos Museus: realização de projetos 
0.08973526,0.117993064,4,Termo de Execução Descentralizada: Visão Geral e Atos Preparatórios 
0.2631873,0.24662502,4,Participação e Controle Social na Execução de Penas 
-0.51709825,0.11336228,0,Procedimentos Auxiliares na Nova Lei de Licitações 
-0.016706517,-0.08020132,3,SCDP - Solicitação do Afastamento a Serviço 
-0.60838306,0.19429016,0,Nova Lei de Licitações: Sanções ao fornecedor 
0.11741457,0.18155439,4,"Notificação de prestação de contas: análise, providências e consequências "
0.08708172,0.23885863,4,"Convênios de Educação, Ciência, Tecnologia e Inovação: Atos Preparatórios "
-0.42412385,0.25150308,0,Nova Lei de Licitações: modalidade e seleção de fornecedores 
-0.3774511,0.05596918,0,Técnica Legislativa 
-0.07874467,-0.34774622,2,Demonstrativo de Investimentos do RPPS - DAIR E DPIN 
0.20298237,0.03278262,1,Aplicação de Penalidades nos Contratos Administrativos 
-0.14091854,-0.051874936,3,Processo Legislativo Orçamentário - Orçamento Impositivo 
0.2639798,0.2733823,4,"Prestação de contas, transparência e controle social no âmbito do FNDE "
0.206728,0.048209358,1,A Responsabilização Administrativa na Lei Anticorrupção 
0.20298237,0.03278262,1,Aplicação de Penalidades nos Contratos Administrativos 
-0.14091854,-0.051874936,3,Processo Legislativo Orçamentário - Orçamento Impositivo 
0.23605043,-0.11179266,1,Educação Financeira Pessoal 
0.080379896,-0.2747383,2,Estruturas Organizacionais do Poder Executivo Federal - Siorg 
-0.26911816,-0.18398166,3,"Transferegov.br: Cadastro de Entes, Instituições e Usuários "
0.08231489,0.08604312,1,Gestão de Projetos Educacionais 
0.002947889,-0.2419059,2,Elaboração de instrumentos de gestão de documentos arquivísticos relativos às atividades-fim 
0.001295293,0.049558982,1,Valores Culturais da Natureza 
0.002947889,-0.2419059,2,Elaboração de instrumentos de gestão de documentos arquivísticos relativos às atividades-fim 
0.23714687,0.07100758,1,Análise de dados como suporte à tomada de decisão 
0.027872484,-0.12511894,1,Instrumentos de Desenvolvimento Urbano Sustentável - Gestão 
-0.14091854,-0.051874936,3,Processo Legislativo Orçamentário - Orçamento Impositivo 
0.16693814,-0.00044301272,1,Direito e Atenção à Saúde da Pessoa Idosa 
0.01797655,0.110432975,4,Aposentadoria e Pensão de servidores: Atualizações conforme Emenda 103/2019 
0.01797655,0.110432975,4,Aposentadoria e Pensão de servidores: Atualizações conforme Emenda 103/2019 
0.01797655,0.110432975,4,Aposentadoria e Pensão de servidores: Atualizações conforme Emenda 103/2019 
0.01797655,0.110432975,4,Aposentadoria e Pensão de servidores: Atualizações conforme Emenda 103/2019 
0.01797655,0.110432975,4,Aposentadoria e Pensão de servidores: Atualizações conforme Emenda 103/2019 
0.01797655,0.110432975,4,Aposentadoria e Pensão de servidores: Atualizações conforme Emenda 103/2019 
0.11161441,-0.34324542,2,Fiscalização de projetos e obras de engenharia 
-0.12148649,-0.11522196,3,Avaliação de Resultado Regulatório 
-0.027923018,-0.35099855,2,Design Instrucional para Nativos e Imigrantes Digitais 
-0.32768297,0.22573084,0,Estratégias de Metodologias Ativas 
0.1376267,-0.08725658,1,A Regulação no Brasil e no Mundo 
-0.3454622,-0.20707878,3,Processamento de Linguagem Natural 
0.39047825,-0.05223368,1,Estatística para Análise de Dados na Administração Pública 
-0.06633758,-0.035180964,3,Princípios de Economia: Microeconomia 
-0.19324978,0.28167492,0,Análise de Condutas Unilaterais Restritivas à Concorrência 
-0.014058529,-0.22836995,2,Novo Regime Fiscal e o Teto de Gastos 
-0.14091854,-0.051874936,3,Processo Legislativo Orçamentário - Orçamento Impositivo 
0.11201284,0.25233752,4,Educação Patrimonial e Patrimônio Imaterial 
0.049307108,-0.024049575,1,Biossegurança em laboratórios de ensino e pesquisa 
0.07601331,-0.50703096,2,Business Intelligence no Sistema Integrado de Planejamento e Orçamento - Siop BI 
-0.07492463,-0.22463495,2,Excel Intermediário 
-0.14274503,-0.09996752,3,Análise e Melhoria de Processos 
-0.082501814,-0.28431216,2,SEI! USAR 4.0 
0.23714687,0.07100758,1,Análise de dados como suporte à tomada de decisão 
-0.32768297,0.22573084,0,Estratégias de Metodologias Ativas 
0.23714687,0.07100758,1,Análise de dados como suporte à tomada de decisão 
-0.14274503,-0.09996752,3,Análise e Melhoria de Processos 
0.18954201,-0.019062366,1,Contratos administrativos - Pagamento pelo fato gerador 
